criterion "Is_bastille"	"who" "Medic2" required
criterion "ConceptCHATTER_WOLFE_KILL_REPLY_BEHIND"	"concept" "CHATTER_WOLFE_KILL_REPLY_BEHIND" required
criterion "ConceptCHATTER_MISC"	"concept" "CHATTER_MISC" required

Response faith_CHATTER_HOLDING_POSITION
{
	speak "faith.HoldingPosition0"
	speak "faith.HoldingPosition1"
	speak "faith.HoldingPosition2"
	speak "faith.HoldingPosition3"
}

Rule faith_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_faith
    response faith_CHATTER_HOLDING_POSITION
}

Response crash_CHATTER_HOLDING_POSITION
{
	speak "crash.HoldingPosition0"
	speak "crash.HoldingPosition1"
	speak "crash.HoldingPosition2"
	speak "crash.HoldingPosition3"
}

Rule crash_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_crash
    response crash_CHATTER_HOLDING_POSITION
}

Response jaeger_CHATTER_HOLDING_POSITION
{
	speak "jaeger.HoldingPosition0"
	speak "jaeger.HoldingPosition1"
	speak "jaeger.HoldingPosition2"
}

Rule jaeger_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_jaeger
    response jaeger_CHATTER_HOLDING_POSITION
}

Response wolfe_CHATTER_HOLDING_POSITION
{
	speak "wolfe.HoldingPosition0"
	speak "wolfe.HoldingPosition1"
	speak "wolfe.HoldingPosition2"
	speak "wolfe.HoldingPosition3"
	speak "wolfe.HoldingPosition4"
	speak "wolfe.HoldingPosition5"
}

Rule wolfe_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_wolfe
    response wolfe_CHATTER_HOLDING_POSITION
}

Response vegas_CHATTER_HOLDING_POSITION
{
	speak "vegas.HoldingPosition0"
	speak "vegas.HoldingPosition1"
	speak "vegas.HoldingPosition2"
	speak "vegas.HoldingPosition3"
	speak "vegas.HoldingPosition4"
}

Rule vegas_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_vegas
    response vegas_CHATTER_HOLDING_POSITION
}

Response sarge_CHATTER_HOLDING_POSITION
{
	speak "sarge.HoldingPosition0"
	speak "sarge.HoldingPosition1"
	speak "sarge.HoldingPosition2"
}

Rule sarge_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_sarge
    response sarge_CHATTER_HOLDING_POSITION
}

Response bastille_CHATTER_HOLDING_POSITION
{
	speak "bastille.HoldingPosition0"
	speak "bastille.HoldingPosition1"
	speak "bastille.HoldingPosition2"
	speak "bastille.HoldingPosition3"
}

Rule bastille_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_bastille
    response bastille_CHATTER_HOLDING_POSITION
}

Response wildcat_CHATTER_HOLDING_POSITION
{
	speak "wildcat.HoldingPosition0"
	speak "wildcat.HoldingPosition1"
	speak "wildcat.HoldingPosition2"
	speak "wildcat.HoldingPosition3"
	speak "wildcat.HoldingPosition4"
}

Rule wildcat_CHATTER_HOLDING_POSITION
{
    criteria ConceptCHATTER_HOLDING_POSITION Is_wildcat
    response wildcat_CHATTER_HOLDING_POSITION
}

Response faith_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "faith.SeriousInjuryReply0"
}

Rule faith_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_faith
    response faith_CHATTER_SERIOUS_INJURY_REPLY
}

Response crash_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "crash.SeriousInjuryReply0"
}

Rule crash_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_crash
    response crash_CHATTER_SERIOUS_INJURY_REPLY
}

Response jaeger_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "jaeger.SeriousInjuryReply0"
}

Rule jaeger_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_jaeger
    response jaeger_CHATTER_SERIOUS_INJURY_REPLY
}

Response wolfe_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "wolfe.SeriousInjuryReply0"
}

Rule wolfe_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_wolfe
    response wolfe_CHATTER_SERIOUS_INJURY_REPLY
}

Response vegas_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "vegas.SeriousInjuryReply0"
}

Rule vegas_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_vegas
    response vegas_CHATTER_SERIOUS_INJURY_REPLY
}

Response sarge_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "sarge.SeriousInjuryReply0"
	speak "sarge.SeriousInjuryReply1"
}

Rule sarge_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_sarge
    response sarge_CHATTER_SERIOUS_INJURY_REPLY
}

Response bastille_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "bastille.SeriousInjuryReply0"
}

Rule bastille_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_bastille
    response bastille_CHATTER_SERIOUS_INJURY_REPLY
}

Response wildcat_CHATTER_SERIOUS_INJURY_REPLY
{
	speak "wildcat.SeriousInjuryReply0"
}

Rule wildcat_CHATTER_SERIOUS_INJURY_REPLY
{
    criteria ConceptCHATTER_SERIOUS_INJURY_REPLY Is_wildcat
    response wildcat_CHATTER_SERIOUS_INJURY_REPLY
}

Response vegas_CHATTER_TEQUILA_REPLY_WILDCAT
{
	speak "vegas.TequilaReplyWildcat0"
}

Rule vegas_CHATTER_TEQUILA_REPLY_WILDCAT
{
    criteria ConceptCHATTER_TEQUILA_REPLY_WILDCAT Is_vegas
    response vegas_CHATTER_TEQUILA_REPLY_WILDCAT
}

Response faith_CHATTER_REQUEST_CUT_DOOR
{
	speak "faith.RequestCutDoor0"
	speak "faith.RequestCutDoor1"
	speak "faith.RequestCutDoor2"
}

Rule faith_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_faith
    response faith_CHATTER_REQUEST_CUT_DOOR
}

Response crash_CHATTER_REQUEST_CUT_DOOR
{
	speak "crash.RequestCutDoor0"
	speak "crash.RequestCutDoor1"
}

Rule crash_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_crash
    response crash_CHATTER_REQUEST_CUT_DOOR
}

Response jaeger_CHATTER_REQUEST_CUT_DOOR
{
	speak "jaeger.RequestCutDoor0"
	speak "jaeger.RequestCutDoor1"
}

Rule jaeger_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_jaeger
    response jaeger_CHATTER_REQUEST_CUT_DOOR
}

Response wolfe_CHATTER_REQUEST_CUT_DOOR
{
	speak "wolfe.RequestCutDoor0"
	speak "wolfe.RequestCutDoor1"
	speak "wolfe.RequestCutDoor2"
}

Rule wolfe_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_wolfe
    response wolfe_CHATTER_REQUEST_CUT_DOOR
}

Response vegas_CHATTER_REQUEST_CUT_DOOR
{
	speak "vegas.RequestCutDoor0"
	speak "vegas.RequestCutDoor1"
	speak "vegas.RequestCutDoor2"
}

Rule vegas_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_vegas
    response vegas_CHATTER_REQUEST_CUT_DOOR
}

Response sarge_CHATTER_REQUEST_CUT_DOOR
{
	speak "sarge.RequestCutDoor0"
	speak "sarge.RequestCutDoor1"
	speak "sarge.RequestCutDoor2"
	speak "sarge.RequestCutDoor3"
	speak "sarge.RequestCutDoor4"
}

Rule sarge_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_sarge
    response sarge_CHATTER_REQUEST_CUT_DOOR
}

Response bastille_CHATTER_REQUEST_CUT_DOOR
{
	speak "bastille.RequestCutDoor0"
	speak "bastille.RequestCutDoor1"
	speak "bastille.RequestCutDoor2"
}

Rule bastille_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_bastille
    response bastille_CHATTER_REQUEST_CUT_DOOR
}

Response wildcat_CHATTER_REQUEST_CUT_DOOR
{
	speak "wildcat.RequestCutDoor0"
	speak "wildcat.RequestCutDoor1"
}

Rule wildcat_CHATTER_REQUEST_CUT_DOOR
{
    criteria ConceptCHATTER_REQUEST_CUT_DOOR Is_wildcat
    response wildcat_CHATTER_REQUEST_CUT_DOOR
}

Response vegas_CHATTER_HACK_LONG_STARTED
{
	speak "vegas.StartedLongHack0"
	speak "vegas.StartedLongHack1"
	speak "vegas.StartedLongHack2"
	speak "vegas.StartedLongHack3"
	speak "vegas.StartedLongHack4"
	speak "vegas.StartedLongHack5"
	speak "vegas.StartedLongHack6"
	speak "vegas.StartedLongHack7"
}

Rule vegas_CHATTER_HACK_LONG_STARTED
{
    criteria ConceptCHATTER_HACK_LONG_STARTED Is_vegas
    response vegas_CHATTER_HACK_LONG_STARTED
}

Response crash_CHATTER_HACK_LONG_STARTED
{
	speak "crash.StartedLongHack0"
	speak "crash.StartedLongHack1"
	speak "crash.StartedLongHack2"
	speak "crash.StartedLongHack3"
	speak "crash.StartedLongHack4"
	speak "crash.StartedLongHack5"
}

Rule crash_CHATTER_HACK_LONG_STARTED
{
    criteria ConceptCHATTER_HACK_LONG_STARTED Is_crash
    response crash_CHATTER_HACK_LONG_STARTED
}

Response sarge_CHATTER_SARGE_JAEGER_CONV_1
{
	speak "sarge.SargeJaegerConv10"
	speak "sarge.SargeJaegerConv11"
}

Rule sarge_CHATTER_SARGE_JAEGER_CONV_1
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_1 Is_sarge
    response sarge_CHATTER_SARGE_JAEGER_CONV_1
}

Response jaeger_CHATTER_SARGE_JAEGER_CONV_2
{
	speak "jaeger.SargeJaegerConv20"
	speak "jaeger.SargeJaegerConv21"
}

Rule jaeger_CHATTER_SARGE_JAEGER_CONV_2
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_2 Is_jaeger
    response jaeger_CHATTER_SARGE_JAEGER_CONV_2
}

Response faith_CHATTER_FRIENDLY_FIRE
{
	speak "faith.FF0"
	speak "faith.FF1"
}

Rule faith_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_faith
    response faith_CHATTER_FRIENDLY_FIRE
}

Response crash_CHATTER_FRIENDLY_FIRE
{
	speak "crash.FF0"
	speak "crash.FF1"
}

Rule crash_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_crash
    response crash_CHATTER_FRIENDLY_FIRE
}

Response jaeger_CHATTER_FRIENDLY_FIRE
{
	speak "jaeger.FF0"
	speak "jaeger.FF1"
}

Rule jaeger_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_jaeger
    response jaeger_CHATTER_FRIENDLY_FIRE
}

Response wolfe_CHATTER_FRIENDLY_FIRE
{
	speak "wolfe.FF0"
}

Rule wolfe_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_wolfe
    response wolfe_CHATTER_FRIENDLY_FIRE
}

Response vegas_CHATTER_FRIENDLY_FIRE
{
	speak "vegas.FF0"
	speak "vegas.FF1"
	speak "vegas.FF2"
}

Rule vegas_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_vegas
    response vegas_CHATTER_FRIENDLY_FIRE
}

Response sarge_CHATTER_FRIENDLY_FIRE
{
	speak "sarge.FF0"
	speak "sarge.FF1"
}

Rule sarge_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_sarge
    response sarge_CHATTER_FRIENDLY_FIRE
}

Response bastille_CHATTER_FRIENDLY_FIRE
{
	speak "bastille.FF0"
	speak "bastille.FF1"
	speak "bastille.FF2"
}

Rule bastille_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_bastille
    response bastille_CHATTER_FRIENDLY_FIRE
}

Response wildcat_CHATTER_FRIENDLY_FIRE
{
	speak "wildcat.FF0"
	speak "wildcat.FF1"
}

Rule wildcat_CHATTER_FRIENDLY_FIRE
{
    criteria ConceptCHATTER_FRIENDLY_FIRE Is_wildcat
    response wildcat_CHATTER_FRIENDLY_FIRE
}

Response faith_CHATTER_SELECTION
{
	speak "faith.Selection0"
	speak "faith.Selection1"
	speak "faith.Selection2"
	speak "faith.Selection3"
	speak "faith.Selection4"
	speak "faith.Selection5"
}

Rule faith_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_faith
    response faith_CHATTER_SELECTION
}

Response crash_CHATTER_SELECTION
{
	speak "crash.Selection0"
	speak "crash.Selection1"
	speak "crash.Selection2"
}

Rule crash_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_crash
    response crash_CHATTER_SELECTION
}

Response jaeger_CHATTER_SELECTION
{
	speak "jaeger.Selection0"
	speak "jaeger.Selection1"
}

Rule jaeger_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_jaeger
    response jaeger_CHATTER_SELECTION
}

Response wolfe_CHATTER_SELECTION
{
	speak "wolfe.Selection0"
	speak "wolfe.Selection1"
	speak "wolfe.Selection2"
}

Rule wolfe_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_wolfe
    response wolfe_CHATTER_SELECTION
}

Response vegas_CHATTER_SELECTION
{
	speak "vegas.Selection0"
	speak "vegas.Selection1"
	speak "vegas.Selection2"
}

Rule vegas_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_vegas
    response vegas_CHATTER_SELECTION
}

Response sarge_CHATTER_SELECTION
{
	speak "sarge.Selection0"
	speak "sarge.Selection1"
	speak "sarge.Selection2"
	speak "sarge.Selection3"
}

Rule sarge_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_sarge
    response sarge_CHATTER_SELECTION
}

Response bastille_CHATTER_SELECTION
{
	speak "bastille.Selection0"
	speak "bastille.Selection1"
	speak "bastille.Selection2"
	speak "bastille.Selection3"
	speak "bastille.Selection4"
}

Rule bastille_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_bastille
